"","lumMean","lumSD","area","maxPower","maxFreq","propPower","sumPower","meanPower","powerSD","uvMean","uvSD","swMean","swSD","mwMean","mwSD","lwMean","lwSD","dblMean","dblSD"
"MVZ116808","8155.865","3091.24","294664","410.827","24.675","0.027","15319.302","312.639","59.869","3205.134","1082.489","5392.927","2094.417","8260.495","3129.827","9785.888","3643.359","8155.865","3091.24"
"MVZ116809","8724.101","3541.801","261090","456.012","26.909","0.027","17001.501","346.969","64.878","3571.936","1206.966","5549.307","2213.165","8813.757","3550.341","10626.839","4305.98","8724.101","3541.801"
"MVZ120329","7635.986","3360.424","424885","454.513","26.909","0.028","16311.055","332.879","72.666","3431.089","1419.394","4926.415","2151.801","7722.079","3356.392","9307.518","4130.734","7635.986","3360.424"
"MVZ120330","10273.379","3906.066","408225","498.124","24.675","0.027","18580.079","379.185","65.974","4575.817","1584.203","7435.927","2839.161","10390.535","3961.525","11846.513","4482.885","10273.379","3906.066"
"MVZ19481","9839.106","3496.06","441849","410.378","26.909","0.024","16775.136","342.35","41.593","4211.71","1394.91","6664.812","2473.831","9872.819","3540.472","11812.873","4076.208","9839.106","3496.06"
"MVZ19482","9040.984","4156.56","510552","536.312","34.896","0.027","19991.897","407.998","76.19","4233.36","1861.534","6671.919","3084.795","9215.009","4217.717","10259.336","4686.305","9040.984","4156.56"
"MVZ19483","11113.859","3931.765","489210","463.367","26.909","0.026","17953.325","366.394","53.083","5008.807","1751.126","7764.642","2894.201","11153.319","3943.857","13141.072","4512.048","11113.859","3931.765"
"MVZ19484","8994.633","3538.124","506734","404.878","32","0.025","16188.615","330.38","41.852","4243.919","1841.644","6218.367","2566.592","9089.961","3585.468","10640.212","4065.317","8994.633","3538.124"
"MVZ19486","11759.53","4323.606","475121","531.868","32","0.026","20200.632","412.258","88.508","4695.181","1749.555","7772.591","2993.412","11767.27","4354.967","14207.573","5060.408","11759.53","4323.606"
"MVZ19487","10271.429","4108.842","534422","573.207","32","0.028","20305.08","414.389","90.942","4449.929","1577.394","7138.408","2891.143","10439.366","4204.903","11925.082","4626.072","10271.429","4108.842"
