"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"MVZ116808","153.04","127.48","52.9","4060.84","281.54","42.58","238.96","109.6","200.86","203.14","100.34","411.7","85.58","1","86.9","217","4.04","9","215.24"
"MVZ116809","153.28","127.08","52.94","4061.44","281.38","43.06","238.32","110.36","200.98","203.34","100.5","405.32","84.12","1","86.38","213.12","4.06","9","211.44"
"MVZ120329","137.08","122.42","60.12","2945.04","241.8","39.58","202.22","99.76","170.14","174.14","99.76","744.9","165.04","2","91.4","418.44","8.46","13","418.44"
"MVZ120330","137.36","122.1","60.26","2918.06","241.28","39.98","201.3","100.24","169.88","173.88","100.24","735.4","163.16","2","91.32","413.58","8.36","12.82","413.58"
"MVZ19481","165.44","151.8","45.7","6274.54","351.72","22.76","328.96","95.18","243.44","243.44","84.02","228.54","41","0.08","79.54","115.16","2.08","2.08","115.16"
"MVZ19482","165.52","152.1","45.86","6283.4","352.14","22.82","329.32","93.36","243.58","243.58","84","228.92","41.14","0.02","79.44","115.5","2.02","2.02","115.5"
"MVZ19483","165.44","151.98","45.8","6275.98","351.86","22.78","329.08","94.44","243.44","243.44","84","228.04","40.84","0.04","79.2","114.88","2.04","2.04","114.88"
"MVZ19484","165.48","152.02","45.78","6277.12","351.86","22.76","329.1","95.16","243.5","243.5","84","228.12","40.88","0.04","79.38","114.96","2.04","2.04","114.96"
"MVZ19486","172.68","157","45","6818.04","366.2","19.46","346.74","104.2","258.76","258.76","84.64","218.4","40.1","0","79.5","114.28","2","2","108.66"
"MVZ19487","172.78","156.84","45","6810.88","366.14","19.76","346.38","104.38","258.72","258.72","84.8","221.16","40.6","0","79.56","115.7","2","2","109.96"
"MVZ19488","174.56","157.84","44.84","6879.28","368.44","18.94","349.5","105.18","261.58","261.58","85.98","199.36","35.66","0","77.92","104.02","2.84","2.84","96.54"
"MVZ19496","174.48","157.8","44.8","6884.5","368.38","18.74","349.64","105.22","261.58","261.58","85.84","198.12","35.46","0","77.78","103.48","2.74","2.74","96"
"MVZ29155","163.12","166.3","48","6252.54","356.38","14.6","341.78","100.04","241.98","241.98","83.64","190.88","34.98","0.14","80.68","98.48","2.14","2.14","97.84"
"MVZ3471","172.38","94.5","51.2","3051.28","260.9","78.2","182.7","138.3","206.46","214.68","136","250.3","51.7","0.9","89.08","145.68","3.9","7.16","128.84"
"MVZ3472","172.3","92.18","50.82","3027.84","258.74","79.3","179.44","138.46","206.06","214.4","136.16","248.6","51.86","0.94","89.12","145.66","3.94","7.06","128.48"
"MVZ3473","172.44","94.08","51.14","3048.2","260.72","78.56","182.16","138.42","206.48","214.74","136.18","251.38","52.04","0.94","89","146.62","3.94","7.16","129.46"
"MVZ3479","169","86.9","49.9","2960.9666666666667","252.03333333333333","80.66666666666667","171.36666666666667","135.96666666666667","201.56666666666666","210.1","133.8","277.43333333333334","59.333333333333336","0.8666666666666667","91.03333333333333","164.6","3.8666666666666667","6.9","146.16666666666666"
"MVZ3667","172.06","98","51.72","3074.56","262.28","74.96","187.32","137.44","206.46","214.46","134.84","237.72","48.16","0.92","87.32","135.56","3.92","7","121.3"
"MVZ64599","166.9","159.22","45","6780.16","370.46","22.24","348.22","97.7","253.64","253.64","81.66","354.52","64.78","0","82.9","183.1","3","3","176.08"
"MVZ90619","137.54545454545453","120.93181818181819","60.54545454545455","2841.659090909091","239.63636363636363","41.04545454545455","198.5909090909091","101.18181818181819","168.79545454545453","172.79545454545453","101.18181818181819","719.3636363636364","160.02272727272728","2","91.18181818181819","405.34090909090907","8.204545454545455","12.522727272727273","405.34090909090907"
"MVZ10234","133.5","149.26","47.04","6055.42","299.52","-14.26","313.78","203.76","164.26","212.52","58.52","575.3","129.42","8.14","74.78","302.88","41.32","263.88","128.72"
"MVZ10235","132.78","148.96","47","6044.66","298.6","-14.64","313.24","202.82","163.42","211.7","57.94","578.86","129.98","8.3","74.52","304.18","41.96","265.26","129.74"
"MVZ24483","154.92","154.16","47.1","6287.6","321.62","-1.9","323.52","227.9","187.52","235.96","76.06","437.96","111.12","4.84","88.54","256.56","27.04","222.94","84.88"
"MVZ5433","155.08","154.14","47.06","6286.86","321.8","-1.7","323.5","228.04","187.66","236.08","76.3","437.5","111.04","4.82","88.66","256.26","27","222.76","84.88"
"MVZ5434","156.76","154.68","47.14","6305.3","323.6","-0.88","324.48","229.94","189.46","237.92","77.58","427.3","109.76","4.56","89.74","252.98","25.9","219.76","81.54"
"MVZ5435","157.16","154.7","47.04","6316.9","323.84","-0.62","324.46","230.56","190.06","238.6","78.04","423.98","109.26","4.58","90.22","251.68","25.64","218.56","80.44"
"MVZ5436","157.44","154.84","47.16","6312.24","324.3","-0.5","324.8","230.7","190.18","238.66","78.12","423.06","109.24","4.44","90.26","251.66","25.42","218.56","80.16"
"MVZ78852","158.68","188.44","50","7056.08","349.7","-22.04","371.74","244.32","192.68","250.82","70.38","319.7","70.18","5.4","75.72","171.78","22.42","146.78","68.72"
"MVZ82391","104.62","169.06","39.7","8836.06","327.62","-94.4","422.02","170.78","146.62","218.98","-9.28","275.28","36.98","10.44","30.2","95.88","44.44","77.12","61.24"
"MVZ63384","96.42857142857143","105.65306122448979","29","8718.489795918367","278","-78.44897959183673","356.44897959183675","8.816326530612244","207.9387755102041","207.9387755102041","-17.857142857142858","1149.7551020408164","118.85714285714286","80.9795918367347","10.244897959183673","325.2244897959184","253.44897959183675","253.44897959183675","301.1224489795918"
"MVZ63386","96.66","105.72","29","8723.26","278.24","-78.46","356.7","8.96","208.18","208.18","-17.76","1146.22","118.18","81","10.1","323.54","253.46","253.46","299.66"
"MVZ102726","179.7","147.58","43","6713.8","361.36","23.94","337.42","111.64","264.26","264.26","93.64","163.62","30.14","0","79.24","88.62","3","3","78.16"
"MVZ102727","179.28","147.78","43","6721.1","361.06","23.26","337.8","111.18","263.94","263.94","93.16","163","29.92","0","78.8","88.16","3","3","77.8"
"MVZ140817","212.3","151.5","41.66","7524.88","403.54","44.48","359.06","307.04","242.76","311.08","119.94","106.34","18.54","0.66","51.88","41.1","5.96","30.48","33.76"
"MVZ162726","142.52","156.62","39","8385.8","354.56","-38.78","393.34","57.88","208.34","253.14","38.9","133.14","18.36","5.42","31.96","45.54","24.42","29.8","44.94"
"MVZ162727","142.64","156.64","39","8388.08","354.8","-38.7","393.5","58","207.54","253.28","39","132.88","18.36","5.42","31.94","45.44","24.36","29.72","44.8"
"MVZ162729","142.62","156.6","39","8386.98","354.76","-38.7","393.46","57.94","209.36","253.22","39.02","133.08","18.34","5.44","31.82","45.46","24.5","29.88","44.76"
"MVZ162730","143.32","156.84","39","8398.6","355.58","-38.32","393.9","58.56","214.92","254.08","39.48","132.06","18.24","5.28","32.18","45.18","24.24","29.48","44.64"
"MVZ19502","146.28","160.34","48.6","5788.22","332.14","5.58","326.56","86.8","221.68","222.54","77.42","456.6","85.9","0.14","86.84","250.68","4.14","13.3","236.84"
"MVZ22501","146.48","159.04","41","7887.76","354","-28.98","382.98","48.48","225.74","250.3","48.48","173.16","29.66","4.34","58.98","80.9","17.82","20.24","80.9"
"MVZ22502","145.46","158.7","41","7878.42","352.64","-29.62","382.26","47.58","224.56","249.22","47.58","174.02","29.78","4.38","58.52","81.12","18.02","20.62","81.12"
"MVZ24550","161","166.54","45.62","6905.74","360.34","-0.84","361.18","89.6","226.54","251.4","77.3","182.18","30.46","1","66.16","86.9","10.84","12.28","84.1"
"MVZ29153","189.56","151.26","43","6978.36","379.66","33.24","346.42","118.28","278.86","278.86","102.04","205.48","38.4","0","78.46","107.62","3.16","3.16","94.7"
"MVZ29166","162.38","152.48","42","7261.06","356.84","0.04","356.8","88.7","232.7","259.42","76.14","168.26","30.84","1.06","74.78","87.3","7.36","8.76","84"
"MVZ29169","163.02","152.88","42","7275.14","357.88","0.06","357.82","89.34","233.58","260.24","76.66","166.02","30.5","1.04","74.36","86.24","7.26","8.66","83"
"MVZ29170","163.3","153.06","42","7280.94","358.24","0.1","358.14","89.32","233.78","260.68","76.74","164.44","30.2","1.04","74.54","85.3","7.28","8.8","82.06"
"MVZ29172","161.96","152.22","42","7252.1","356.3","0.16","356.14","88.34","232.18","258.92","75.88","169.58","30.98","1.08","74.46","87.94","7.56","8.9","84.44"
"MVZ29173","163.54","153.2","42","7286.56","358.62","0.18","358.44","89.56","234.08","260.96","76.9","163.62","30.06","1.02","74.4","84.82","7.28","8.76","81.62"
"MVZ29177","161.8","152.28","42","7251.78","356.2","0.02","356.18","88.06","231.94","258.8","75.64","169.14","30.9","1.12","74.8","87.56","7.56","9.02","84.14"
"MVZ82393","168.2","148.48","43.38","6641.66","354.44","16.38","338.06","100.7","253.38","253.46","85.24","248.4","45.78","0","81.88","134.66","2.98","3.54","121.98"
"MVZ82394","170.04","148.36","43.2","6693.5","356.38","17.04","339.34","102.2","255.78","255.82","86","229.78","42.1","0","81.42","123.92","3","3.28","111.92"
"MVZ139540","117.62","173.82","51.04","5764","285.66","-50.34","336","178.82","81.5","187.82","41.02","517.5","134.04","7.92","100.82","342.92","29.56","305.66","40.16"
"MVZ139544","118.08","173.9","51.02","5767.84","286.18","-50.04","336.22","179.34","82.02","188.34","41.5","516.5","133.66","7.9","101.04","342.2","29.44","305.18","39.94"
