"","u","s","m","l","u.r","s.r","m.r","l.r","x","y","z","h.theta","h.phi","r.vec","r.max","r.achieved"
"MVZ116808","0.1205579703372472","0.2029704823507697","0.3099162874962945","0.3665552598156885","-0.1294420296627528","-0.04702951764923032","0.05991628749629454","0.11655525981568861","0.1001748086189469","0.01778615131568753","-0.1294420296627528","0.17571992103456083","-0.904649993107754","0.16464075590108349","0.3179816407584869","0.5177681186510112"
"MVZ116809","0.12327837671817828","0.19536333236512868","0.309044032076493","0.37231425884020014","-0.12672162328182174","-0.05463666763487127","0.05904403207649301","0.12231425884020002","0.10835986984416687","0.017822793632054735","-0.12672162328182174","0.16301822199561766","-0.8567488521681719","0.16768387869045592","0.3308114952046038","0.506886493127287"
"MVZ120329","0.1315096567803605","0.19389358307692717","0.30505896807953364","0.3695377920631787","-0.11849034321963947","-0.05610641692307285","0.055058968079533636","0.1195377920631787","0.10755967207277199","0.016506191943393558","-0.1184903432196395","0.1522728501389822","-0.8279203583312664","0.1608772788966247","0.3394312028415994","0.4739613728785579"
"MVZ120330","0.1328936283431804","0.2175803692678446","0.30360970427050976","0.3459162981184652","-0.11710637165681959","-0.032419630732155404","0.05360970427050978","0.0959162981184652","0.0785893853375367","0.015458323381279693","-0.11710637165681961","0.1942179217982292","-0.9709214893337019","0.14187724811299807","0.3028811458030003","0.4684254866272784"
"MVZ19481","0.12918442237167188","0.20512211179524847","0.3033222988747775","0.3623711669583021","-0.1208155776283281","-0.044877888204751575","0.053322298874777546","0.11237116695830214","0.0962949869210615","0.013842081577236234","-0.12081557762832812","0.14276866076088648","-0.8928722321813461","0.15511522016289972","0.3209752070219156","0.4832623105133124"
"MVZ19482","0.1368692933800012","0.2197865788419178","0.30447110301947683","0.3388730247586042","-0.1131307066199988","-0.03021342115808221","0.05447110301947682","0.08887302475860422","0.07292525694435677","0.017777584579961116","-0.1131307066199988","0.23911429077137028","-0.9849974878160903","0.13576705194648062","0.3000225491442309","0.4525228264799952"
"MVZ19483","0.13513513270583713","0.21010467532118","0.3009041761368824","0.3538560158361004","-0.11486486729416287","-0.03989532467882001","0.05090417613688241","0.10385601583610048","0.0880293585256574","0.013381168913758242","-0.11486486729416287","0.1508532051919404","-0.9113758504383376","0.14533465306816165","0.3163165911643968","0.4594594691766515"
"MVZ19484","0.13951787032689122","0.20719382193261224","0.3015265249568518","0.3517617827836447","-0.11048212967310878","-0.04280617806738772","0.05152652495685181","0.10176178278364471","0.08852943430992101","0.015590801266058331","-0.11048212967310878","0.17432119312068847","-0.887798322040793","0.14243186020149412","0.32229615011703083","0.44192851869243505"
"MVZ19486","0.12188530926693553","0.2021241675930729","0.306298939058472","0.3696915840815197","-0.12811469073306447","-0.04787583240692707","0.056298939058471976","0.1196915840815196","0.10261366697828174","0.014418659079296963","-0.12811469073306447","0.13960004689053568","-0.8907004114875883","0.1647751084417894","0.32153827851231626","0.5124587629322579"
"MVZ19487","0.12949368568561842","0.21112008863530854","0.30832268888792685","0.35106353679114616","-0.12050631431438158","-0.038879911364691475","0.05832268888792684","0.10106353679114623","0.08569751020685847","0.019255137200781182","-0.12050631431438158","0.2210167346952905","-0.9409527113925462","0.14911939965649018","0.3093601370702071","0.4820252572575263"
"MVZ19488","0.11770447935237965","0.19311504990293196","0.30500771352364126","0.38417275722104705","-0.13229552064762035","-0.056884950097068065","0.055007713523641255","0.13417275722104718","0.11699847358884843","0.011570960989931881","-0.13229552064762035","0.09857783368191375","-0.844267002008586","0.1769876683381527","0.33445514154929973","0.5291820825904814"
"MVZ19496","0.11526129667801487","0.21066336570928038","0.3147309165171064","0.35934442109559844","-0.13473870332198512","-0.03933663429071964","0.06473091651710638","0.1093444210955984","0.0910481800287409","0.021020179628870286","-0.13473870332198512","0.22689333456104344","-0.9644368822538613","0.16396992776441024","0.30423687426427737","0.5389548132879405"
"MVZ29155","0.13511757745908418","0.20524308984167472","0.3043703716135675","0.35526896108567363","-0.11488242254091582","-0.04475691015832525","0.05437037161356751","0.10526896108567359","0.09187170819107125","0.017051417686469294","-0.11488242254091582","0.1835121498874905","-0.8879623970585746","0.14808488315804996","0.3222531347328373","0.4595296901636633"
"MVZ3471","0.1307832471227936","0.20819937183444784","0.30461941910134555","0.35639796194141304","-0.1192167528772064","-0.04180062816555217","0.05461941910134554","0.10639796194141303","0.09075273159048497","0.01578315525129045","-0.1192167528772064","0.17219157920996808","-0.9129448756954958","0.15065789208470243","0.31593272012676044","0.47686701150882554"
"MVZ3472","0.12174403450136011","0.1951065869171304","0.30829978811419473","0.3748495904673148","-0.12825596549863988","-0.054893413082869595","0.05829978811419476","0.12484959046731475","0.11006966088330422","0.01649093181007091","-0.12825596549863988","0.14871652704945054","-0.8560692966358198","0.1698142331046438","0.3310065002521162","0.5130238619945595"
