"","CONUS_005cm.1","CONUS_005cm.2","CONUS_005cm.3","CONUS_005cm.4"
"MVZ116808",83.88,69.66,54.82,255
"MVZ116809",85.54,70.48,54.62,255
"MVZ120329",77.7826086956522,61.6086956521739,47.3478260869565,255
"MVZ120330",74.8936170212766,58.8723404255319,43.8510638297872,255
"MVZ19481",92.66,73.26,49.84,255
"MVZ19482",93.32,73.08,48.66,255
"MVZ19483",91.52,72.28,49.2,255
"MVZ19484",87.86,68.96,46.66,255
"MVZ19486",107.58,93.7,77,255
"MVZ19487",96.92,84.14,68.68,255
"MVZ19488",112.76,92.42,69.02,255
"MVZ19496",110.64,90.38,67.08,255
"MVZ29155",111.38,98.24,77.12,255
"MVZ3471",99.56,77.96,55.64,255
"MVZ3472",103.816326530612,80.2857142857143,57.1632653061224,255
"MVZ3473",99.1224489795918,77.7142857142857,55.8979591836735,255
"MVZ3479",95.4666666666667,68.7333333333333,45.2,255
"MVZ3667",102.62,78.96,56.62,255
"MVZ64599",104.82,80.98,58.56,255
"MVZ90619",71.3529411764706,55.8529411764706,41.4411764705882,255
"MVZ10234",76.26,60.6,45.74,255
"MVZ10235",76.76,60.52,44.82,255
"MVZ24483",84.86,61.5,47.36,255
"MVZ5433",87.3,61.76,46.6,255
"MVZ5434",87,62.66,47.6,255
"MVZ5435",88.1,62.8,47.9,255
"MVZ5436",92.12,63.18,46.78,255
"MVZ78852",117.68,96.46,71.08,255
"MVZ82391",113.34,93.98,76.76,255
"MVZ63384",112.68,84.44,56.6,255
"MVZ63386",126.785714285714,92.5,58.8214285714286,255
"MVZ102726",81.94,75.18,62.02,255
"MVZ102727",81.7,75.76,63.94,255
"MVZ140817",117.34,92.88,64.5,255
"MVZ162726",138.26,113.3,83.14,255
"MVZ162727",138.04,112.72,82.02,255
"MVZ162729",138.02,112.7,82.08,255
"MVZ162730",144.6,119.64,89.08,255
"MVZ19502",110.34,93.2,69.04,255
"MVZ22501",123.66,100.66,73.04,255
"MVZ22502",120.56,96.16,66.88,255
"MVZ24550",134.6,113.7,88.74,255
"MVZ29153",95.68,74.92,50.58,255
"MVZ29166",143.58,119.96,90.92,255
"MVZ29169",149.9,126.2,97,255
"MVZ29170",143.8,119.9,90.5,255
"MVZ29172",148.54,124.58,95.06,255
"MVZ29173",145.82,121.34,91.18,255
"MVZ29177",150.6,128,100.2,255
"MVZ82393",131.58,111.74,87.04,255
"MVZ82394",126.84,107.84,83.94,255
"MVZ139540",NA,NA,NA,NA
"MVZ139544",NA,NA,NA,NA
"MVZ139545",NA,NA,NA,NA
"MVZ139546",NA,NA,NA,NA
"MVZ143776",NA,NA,NA,NA
"MVZ152933",NA,NA,NA,NA
"MVZ152934",NA,NA,NA,NA
"MVZ102593",NA,NA,NA,NA
"MVZ102594",NA,NA,NA,NA
"MVZ102596",NA,NA,NA,NA
"MVZ102600",NA,NA,NA,NA
"MVZ102601",NA,NA,NA,NA
"MVZ102604",NA,NA,NA,NA
"MVZ102608",NA,NA,NA,NA
"MVZ102610",NA,NA,NA,NA
"MVZ102612",NA,NA,NA,NA
"MVZ102614",NA,NA,NA,NA
"MVZ102623",NA,NA,NA,NA
"MVZ158333",NA,NA,NA,NA
"MVZ42658",NA,NA,NA,NA
"MVZ42659",NA,NA,NA,NA
"MVZ82368",NA,NA,NA,NA
"MVZ102618",NA,NA,NA,NA
"MVZ158332",NA,NA,NA,NA
"MVZ158334",NA,NA,NA,NA
"MVZ158335",NA,NA,NA,NA
"MVZ158337",NA,NA,NA,NA
"MVZ59518",NA,NA,NA,NA
"MVZ59534",NA,NA,NA,NA
"MVZ59535",NA,NA,NA,NA
"MVZ59538",NA,NA,NA,NA
"MVZ59539",NA,NA,NA,NA
"MVZ59541",NA,NA,NA,NA
"MVZ59542",NA,NA,NA,NA
"MVZ59543",NA,NA,NA,NA
"MVZ59545",NA,NA,NA,NA
"MVZ59552",NA,NA,NA,NA
"MVZ59558",NA,NA,NA,NA
"MVZ59559",NA,NA,NA,NA
"MVZ59560",NA,NA,NA,NA
"MVZ59563",NA,NA,NA,NA
"MVZ73374",NA,NA,NA,NA
"MVZ82371",NA,NA,NA,NA
"MVZ120124",103,91.9230769230769,79.3076923076923,255
"MVZ120125",107,95.5714285714286,82.2857142857143,255
"MVZ120127",96.4444444444444,84.8888888888889,72.1111111111111,255
"MVZ120131",103,91.9230769230769,79.3076923076923,255
"MVZ120132",106.625,95.625,82.875,255
"MVZ120133",97,86.8181818181818,75.7272727272727,255
"MVZ174004",107.975609756098,94.3658536585366,71.9268292682927,255
"MVZ174005",81.390243902439,63.8780487804878,47.3414634146341,255
"MVZ174006",82.1351351351351,67.3783783783784,53.8378378378378,255
"MVZ176999",101.518518518519,73.962962962963,49.2962962962963,255
"MVZ177000",102,74.5,49.6944444444444,255
"MVZ177001",97.2258064516129,71.1290322580645,48.0322580645161,255
"MVZ177002",106.5,77.2647058823529,51.6176470588235,255
"MVZ177003",99.6176470588235,72.9117647058823,48.7941176470588,255
"MVZ177004",101.657894736842,74.0789473684211,49.9473684210526,255
"MVZ177005",95.8571428571429,69.8571428571429,47.6071428571429,255
"MVZ177006",100.882352941176,73.3823529411765,49.5,255
"MVZ177009",85.375,63.125,42.75,255
