"","CFRAG","SDTO","STPC","CLPC","BULK","TAWC","ORGC","TOTN","CNrt","CECS","ECEC","TEB","BSAT","ALSA","ESP","PHAQ","TCEQ","GYPS","ELCO"
"MVZ116808",11.175,41.075,33.525,25.4,1.32600002125,15.55,20.856499975,1.657250016,12.375,17.475,15.125,13.3,70.925,4.925,1.45,6.15999997775,6.875,3.8,0.675
"MVZ116809",11.175,41.075,33.525,25.4,1.32600002125,15.55,20.856499975,1.657250016,12.375,17.475,15.125,13.3,70.925,4.925,1.45,6.15999997775,6.875,3.8,0.675
"MVZ120329",10.0333333333333,40.2333333333333,34.3,25.4666666666667,1.294000019,15.6666666666667,21.4566666466667,1.74500001933333,12.5666666666667,17.8333333333333,14.5666666666667,13,68.3666666666667,6.56666666666667,1.4,6.02666665633333,9.16666666666667,2.73333333333333,0.566666666666667
"MVZ120330",10.0333333333333,40.2333333333333,34.3,25.4666666666667,1.294000019,15.6666666666667,21.4566666466667,1.74500001933333,12.5666666666667,17.8333333333333,14.5666666666667,13,68.3666666666667,6.56666666666667,1.4,6.02666665633333,9.16666666666667,2.73333333333333,0.566666666666667
"MVZ19481",9.75714285714286,43.9428571428571,29.9571428571429,26.1,1.45171430557143,15.4,14.3280001435714,1.36799999907143,10.7571428571429,17.8428571428571,21.0142857142857,19.7857142857143,84.2857142857143,0,4.71428571428571,6.84714288671429,16.2428571428571,4.95714285714286,1.17142857142857
"MVZ19482",9.75714285714286,43.9428571428571,29.9571428571429,26.1,1.45171430557143,15.4,14.3280001435714,1.36799999907143,10.7571428571429,17.8428571428571,21.0142857142857,19.7857142857143,84.2857142857143,0,4.71428571428571,6.84714288671429,16.2428571428571,4.95714285714286,1.17142857142857
"MVZ19483",9.75714285714286,43.9428571428571,29.9571428571429,26.1,1.45171430557143,15.4,14.3280001435714,1.36799999907143,10.7571428571429,17.8428571428571,21.0142857142857,19.7857142857143,84.2857142857143,0,4.71428571428571,6.84714288671429,16.2428571428571,4.95714285714286,1.17142857142857
"MVZ19484",9.75714285714286,43.9428571428571,29.9571428571429,26.1,1.45171430557143,15.4,14.3280001435714,1.36799999907143,10.7571428571429,17.8428571428571,21.0142857142857,19.7857142857143,84.2857142857143,0,4.71428571428571,6.84714288671429,16.2428571428571,4.95714285714286,1.17142857142857
"MVZ19486",8.575,48.4,26.35,25.25,1.476000023,14.875,10.98375018625,1.211249986875,10.2,16.825,23.25,22.375,87.5,0,7.05,7.11500003325,21.55,6.075,1.45
"MVZ19487",8.575,48.4,26.35,25.25,1.476000023,14.875,10.98375018625,1.211249986875,10.2,16.825,23.25,22.375,87.5,0,7.05,7.11500003325,21.55,6.075,1.45
